"Regiao";"UF";"Ano";"Transferência";"Valor Consolidado"
"Centro-Oeste";"GO";"2023";"FUNDEB - IPVA";"R$270.103.728,55"
"Centro-Oeste";"GO";"2023";"FUNDEB - ITCMD";"R$103.133.901,94"
"Centro-Oeste";"GO";"2023";"FUNDEB - ITR";"R$31.196.454,10"
"Centro-Oeste";"GO";"2024";"FUNDEB - COUN VAAR";"R$82.595.942,61"
"Centro-Oeste";"GO";"2024";"FUNDEB - FPE";"R$432.392.338,30"
"Centro-Oeste";"GO";"2024";"FUNDEB - FPM";"R$591.201.086,45"
"Centro-Oeste";"GO";"2024";"FUNDEB - ICMS";"R$2.362.837.399,83"
"Centro-Oeste";"GO";"2024";"FUNDEB - IPI-EXP";"R$15.769.976,63"
"Centro-Oeste";"GO";"2024";"FUNDEB - IPVA";"R$267.731.843,62"
"Centro-Oeste";"GO";"2024";"FUNDEB - ITCMD";"R$82.788.746,08"
"Centro-Oeste";"GO";"2024";"FUNDEB - ITR";"R$32.634.253,96"
"Centro-Oeste";"GO";"2025";"FUNDEB - COUN VAAR";"R$216.829.549,42"
"Centro-Oeste";"GO";"2025";"FUNDEB - FPE";"R$445.411.732,90"
"Centro-Oeste";"GO";"2025";"FUNDEB - FPM";"R$637.264.885,07"
"Centro-Oeste";"GO";"2025";"FUNDEB - FUNDEB - FTI";"R$23.426.688,99"
"Centro-Oeste";"GO";"2025";"FUNDEB - ICMS";"R$2.459.000.341,65"
"Centro-Oeste";"GO";"2025";"FUNDEB - IPI-EXP";"R$16.834.682,01"
"Centro-Oeste";"GO";"2025";"FUNDEB - IPVA";"R$286.160.517,34"
"Centro-Oeste";"GO";"2025";"FUNDEB - ITCMD";"R$70.755.767,74"
"Centro-Oeste";"GO";"2025";"FUNDEB - ITR";"R$35.892.715,67"
"Centro-Oeste";"GO";"2026";"FUNDEB - COUN VAAF";"R$0,00"
"Centro-Oeste";"GO";"2026";"FUNDEB - COUN VAAR";"R$192.500.889,37"
"Centro-Oeste";"GO";"2026";"FUNDEB - COUN VAAT";"R$0,00"
"Centro-Oeste";"GO";"2026";"FUNDEB - FPE";"R$360.299.384,45"
"Centro-Oeste";"GO";"2026";"FUNDEB - FPM";"R$499.054.811,40"
"Centro-Oeste";"GO";"2026";"FUNDEB - FUNDEB - FTI";"R$4.134.121,59"
"Centro-Oeste";"GO";"2026";"FUNDEB - ICMS";"R$1.894.505.257,95"
"Centro-Oeste";"GO";"2026";"FUNDEB - IPI-EXP";"R$13.941.267,84"
"Centro-Oeste";"GO";"2026";"FUNDEB - IPVA";"R$149.567.695,31"
"Centro-Oeste";"GO";"2026";"FUNDEB - ITCMD";"R$51.678.611,16"
"Centro-Oeste";"GO";"2026";"FUNDEB - ITR";"R$6.112.031,04"
"Centro-Oeste";"MS";"2016";"FUNDEB - FPE";"R$101.941.543,53"
"Centro-Oeste";"MS";"2016";"FUNDEB - FPM";"R$114.488.484,64"
"Centro-Oeste";"MS";"2016";"FUNDEB - ICMS";"R$611.890.792,51"
"Centro-Oeste";"MS";"2016";"FUNDEB - IPI-EXP";"R$7.042.420,72"
"Centro-Oeste";"MS";"2016";"FUNDEB - IPVA";"R$46.781.965,59"
"Centro-Oeste";"MS";"2016";"FUNDEB - ITCMD";"R$14.091.850,85"
"Centro-Oeste";"MS";"2016";"FUNDEB - ITR";"R$16.440.219,32"
"Centro-Oeste";"MS";"2016";"FUNDEB - LC 87";"R$2.030.039,52"
