ano;bloco_origem;bloco_destino;modalidade;valor_reais;fonte;data_extracao
2008;U;M;FPM;42301648168.16;CTB-Resumo.xlsx;2026-09-02
2009;U;M;FPM;40001030827.12;CTB-Resumo.xlsx;2026-09-02
2010;U;M;FPM;43068937166.68;CTB-Resumo.xlsx;2026-09-02
2011;U;M;FPM;53097363070.56;CTB-Resumo.xlsx;2026-09-02
2012;U;M;FPM;54746846968.82;CTB-Resumo.xlsx;2026-09-02
2013;U;M;FPM;58878035229.07;CTB-Resumo.xlsx;2026-09-02
2014;U;M;FPM;64158174315.75;CTB-Resumo.xlsx;2026-09-02
2015;U;M;FPM;68398980853.0;CTB-Resumo.xlsx;2026-09-02
2000;U;M;ITR;111569021.69;CTB-Resumo.xlsx;2026-09-02
2001;U;M;ITR;93462393.79;CTB-Resumo.xlsx;2026-09-02
2002;U;M;ITR;121492071.4;CTB-Resumo.xlsx;2026-09-02
2003;U;M;ITR;132722501.91;CTB-Resumo.xlsx;2026-09-02
2004;U;M;ITR;140506778.35;CTB-Resumo.xlsx;2026-09-02
2005;U;M;ITR;134226328.14;CTB-Resumo.xlsx;2026-09-02
2006;U;M;ITR;152237734.02;CTB-Resumo.xlsx;2026-09-02
2007;U;M;ITR;160471451.87;CTB-Resumo.xlsx;2026-09-02
2008;U;M;ITR;168463513.15;CTB-Resumo.xlsx;2026-09-02
2009;U;M;ITR;231144791.63;CTB-Resumo.xlsx;2026-09-02
2010;U;M;ITR;362525533.46;CTB-Resumo.xlsx;2026-09-02
2011;U;M;ITR;396873232.61;CTB-Resumo.xlsx;2026-09-02
2012;U;M;ITR;437427448.0;CTB-Resumo.xlsx;2026-09-02
2013;U;M;ITR;532578062.66;CTB-Resumo.xlsx;2026-09-02
2014;U;M;ITR;687338152.9;CTB-Resumo.xlsx;2026-09-02
2015;U;M;ITR;845145393.84;CTB-Resumo.xlsx;2026-09-02
2000;U;M;IOF OURO;1072344.62;CTB-Resumo.xlsx;2026-09-02
2001;U;M;IOF OURO;782373.48;CTB-Resumo.xlsx;2026-09-02
2002;U;M;IOF OURO;1898960.97;CTB-Resumo.xlsx;2026-09-02
2003;U;M;IOF OURO;3695606.11;CTB-Resumo.xlsx;2026-09-02
2004;U;M;IOF OURO;5228786.13;CTB-Resumo.xlsx;2026-09-02
2005;U;M;IOF OURO;2121754.38;CTB-Resumo.xlsx;2026-09-02
2006;U;M;IOF OURO;2443213.46;CTB-Resumo.xlsx;2026-09-02
2007;U;M;IOF OURO;2769462.85;CTB-Resumo.xlsx;2026-09-02
2008;U;M;IOF OURO;3095483.12;CTB-Resumo.xlsx;2026-09-02
2009;U;M;IOF OURO;3578411.82;CTB-Resumo.xlsx;2026-09-02
2010;U;M;IOF OURO;2982592.83;CTB-Resumo.xlsx;2026-09-02
2011;U;M;IOF OURO;4850535.92;CTB-Resumo.xlsx;2026-09-02
2012;U;M;IOF OURO;7560333.33;CTB-Resumo.xlsx;2026-09-02
2013;U;M;IOF OURO;8019829.16;CTB-Resumo.xlsx;2026-09-02
2014;U;M;IOF OURO;6850161.05;CTB-Resumo.xlsx;2026-09-02
2015;U;M;IOF OURO;12122023.19;CTB-Resumo.xlsx;2026-09-02
2000;U;M;SEGURO REC. ICMS;810545322.9;CTB-Resumo.xlsx;2026-09-02
2001;U;M;SEGURO REC. ICMS;756108782.07;CTB-Resumo.xlsx;2026-09-02
2002;U;M;SEGURO REC. ICMS;834734683.38;CTB-Resumo.xlsx;2026-09-02
2003;U;M;SEGURO REC. ICMS;864085504.77;CTB-Resumo.xlsx;2026-09-02
2004;U;M;SEGURO REC. ICMS;717999156.69;CTB-Resumo.xlsx;2026-09-02
2005;U;M;SEGURO REC. ICMS;717795299.06;CTB-Resumo.xlsx;2026-09-02
2006;U;M;SEGURO REC. ICMS;411381387.59;CTB-Resumo.xlsx;2026-09-02
2007;U;M;SEGURO REC. ICMS;402992850.24;CTB-Resumo.xlsx;2026-09-02
2008;U;M;SEGURO REC. ICMS;394917579.07;CTB-Resumo.xlsx;2026-09-02
2009;U;M;SEGURO REC. ICMS;386842243.74;CTB-Resumo.xlsx;2026-09-02
2010;U;M;SEGURO REC. ICMS;386842243.28;CTB-Resumo.xlsx;2026-09-02
2011;U;M;SEGURO REC. ICMS;386842239.76;CTB-Resumo.xlsx;2026-09-02
2012;U;M;SEGURO REC. ICMS;386842235.48;CTB-Resumo.xlsx;2026-09-02
2013;U;M;SEGURO REC. ICMS;386842174.04;CTB-Resumo.xlsx;2026-09-02
2014;U;M;SEGURO REC. ICMS;386842243.52;CTB-Resumo.xlsx;2026-09-02
2015;U;M;SEGURO REC. ICMS;386842175.34;CTB-Resumo.xlsx;2026-09-02
2000;U;M;FUNDEF/FUNDEB;2900051126.71;CTB-Resumo.xlsx;2026-09-02
2001;U;M;FUNDEF/FUNDEB;3357095442.76;CTB-Resumo.xlsx;2026-09-02
2002;U;M;FUNDEF/FUNDEB;4133887520.87;CTB-Resumo.xlsx;2026-09-02
2003;U;M;FUNDEF/FUNDEB;4351123818.06;CTB-Resumo.xlsx;2026-09-02
2004;U;M;FUNDEF/FUNDEB;5015434944.02;CTB-Resumo.xlsx;2026-09-02
2005;U;M;FUNDEF/FUNDEB;6176516902.31;CTB-Resumo.xlsx;2026-09-02
2006;U;M;FUNDEF/FUNDEB;6733544532.94;CTB-Resumo.xlsx;2026-09-02
2007;U;M;FUNDEF/FUNDEB;9451729768.47;CTB-Resumo.xlsx;2026-09-02
2008;U;M;FUNDEF/FUNDEB;10356124866.95;CTB-Resumo.xlsx;2026-09-02
2009;U;M;FUNDEF/FUNDEB;13925945354.01;CTB-Resumo.xlsx;2026-09-02
2010;U;M;FUNDEF/FUNDEB;15259450172.26;CTB-Resumo.xlsx;2026-09-02
2011;U;M;FUNDEF/FUNDEB;20786472945.65;CTB-Resumo.xlsx;2026-09-02
2012;U;M;FUNDEF/FUNDEB;17569392124.95;CTB-Resumo.xlsx;2026-09-02
2013;U;M;FUNDEF/FUNDEB;22709252796.05;CTB-Resumo.xlsx;2026-09-02
2014;U;M;FUNDEF/FUNDEB;25656301141.32;CTB-Resumo.xlsx;2026-09-02
2015;U;M;FUNDEF/FUNDEB;28775925207.37;CTB-Resumo.xlsx;2026-09-02
2004;U;M;FEX;223729443.75;CTB-Resumo.xlsx;2026-09-02
2005;U;M;FEX;338630568.75;CTB-Resumo.xlsx;2026-09-02
2006;U;M;FEX;596280595.23;CTB-Resumo.xlsx;2026-09-02
2007;U;M;FEX;483016612.64;CTB-Resumo.xlsx;2026-09-02
2008;U;M;FEX;810930306.87;CTB-Resumo.xlsx;2026-09-02
2009;U;M;FEX;487500000.0;CTB-Resumo.xlsx;2026-09-02
2010;U;M;FEX;487499999.93;CTB-Resumo.xlsx;2026-09-02
2011;U;M;FEX;487500000.0;CTB-Resumo.xlsx;2026-09-02
2012;U;M;FEX;487500000.0;CTB-Resumo.xlsx;2026-09-02
2014;U;M;FEX;487500000.0;CTB-Resumo.xlsx;2026-09-02
2015;U;M;FEX;487499999.84;CTB-Resumo.xlsx;2026-09-02
2004;U;M;CIDE;273333515.41;CTB-Resumo.xlsx;2026-09-02
2005;U;M;CIDE;437951715.05;CTB-Resumo.xlsx;2026-09-02
2006;U;M;CIDE;439306879.59;CTB-Resumo.xlsx;2026-09-02
